(0.036621094+0.05810547j);(0.037597656-0.03125j)
(0.030273438-0.06933594j);(-0.0390625-0.011230469j)
(0.033203125-0.06982422j);(-0.036132812-0.016601562j)
(0.03515625-0.068359375j);(-0.03857422-0.016113281j)
(0.037597656-0.06542969j);(-0.037597656-0.019042969j)
(0.038085938-0.067871094j);(-0.034179688-0.020507812j)
(0.045410156-0.06201172j);(-0.036621094-0.022460938j)
(0.043945312-0.06347656j);(-0.03466797-0.024414062j)
(0.046875-0.06201172j);(-0.03466797-0.024902344j)
(0.05029297-0.057617188j);(-0.03125-0.025390625j)
(0.049804688-0.057128906j);(-0.033203125-0.030273438j)
(0.053710938-0.053710938j);(-0.027832031-0.025878906j)
(0.0546875-0.055664062j);(-0.03173828-0.034179688j)
(0.056640625-0.05029297j);(-0.026367188-0.029785156j)
(0.05908203-0.049316406j);(-0.026367188-0.03466797j)
(0.057617188-0.04736328j);(-0.029296875-0.036132812j)
(0.06640625-0.04345703j);(-0.018066406-0.03466797j)
(0.059570312-0.04736328j);(-0.029785156-0.038085938j)
(0.06591797-0.037109375j);(-0.015625-0.037109375j)
(0.06542969-0.040527344j);(-0.022460938-0.041992188j)
(0.06640625-0.03564453j);(-0.017089844-0.03857422j)
(0.068847656-0.030761719j);(-0.017578125-0.04296875j)
(0.06689453-0.034179688j);(-0.016601562-0.041503906j)
(0.07324219-0.025390625j);(-0.01171875-0.04296875j)
(0.068847656-0.026855469j);(-0.015625-0.044433594j)
(0.072265625-0.020507812j);(-0.0087890625-0.043945312j)
(0.076171875-0.021484375j);(-0.009765625-0.044433594j)
(0.068359375-0.0146484375j);(-0.005859375-0.04736328j)
(0.07714844-0.016601562j);(-0.0063476562-0.044921875j)
(0.072265625-0.0087890625j);(-0.0024414062-0.046875j)
(0.07421875-0.009765625j);(-0.0029296875-0.048339844j)
(0.07421875-0.0043945312j);(-0.00048828125-0.046875j)
(0.072265625-0.0048828125j);(0.0048828125-0.05029297j)
(0.07421875+0.00048828125j);(-0.0014648438-0.048339844j)
(0.07324219+0.0048828125j);(0.013183594-0.049316406j)
(0.076171875+0.0009765625j);-0.04736328j
(0.0703125+0.012207031j);(0.017089844-0.049316406j)
(0.075683594+0.0068359375j);(0.00390625-0.048828125j)
(0.06933594+0.016113281j);(0.01953125-0.045410156j)
(0.07080078+0.014160156j);(0.0078125-0.051757812j)
(0.06982422+0.019042969j);(0.024414062-0.04345703j)
(0.068359375+0.0234375j);(0.01171875-0.053710938j)
(0.068359375+0.019042969j);(0.0234375-0.041015625j)
(0.06591797+0.03173828j);(0.018554688-0.052246094j)
(0.06689453+0.026855469j);(0.024902344-0.04248047j)
(0.064453125+0.033203125j);(0.0234375-0.045898438j)
(0.06201172+0.030761719j);(0.024414062-0.046875j)
(0.06347656+0.03955078j);(0.03173828-0.040527344j)
(0.056152344+0.033691406j);(0.024902344-0.04638672j)
